Flight,To,STD,Departed,Arrived,Duration,Terminal,Gate
SQ362 SIA362, Moscow (DME / UUDD),00:00 UTC+08,12:53 UTC+08 ,05:52 MSK,NULL,3,A15
LX177 SWR177, Zurich (ZRH / LSZH),00:01 UTC+08,00:24 UTC+08 ,06:15 CET,13h 10m,2,E7
SQ388 , Barcelona (BCN / LEBL),00:02 UTC+08,00:40 UTC+08 ,07:10 CET,14h 5m,3,C1
IX687 AXB687, Chennai (MAA / VOMM),00:10 UTC+08,00:10 UTC+08 ,02:00 IST,4h 20m,2,E6
SQ225 SIA225, Perth (PER / YPPH),00:10 UTC+08,00:31 UTC+08 ,05:19 AWST,4h 48m,3,B7
SQ608 SIA608, Seoul (ICN / RKSI),00:10 UTC+08,00:16 UTC+08 ,07:25 KST,6h 9m,3,A1
SQ336 SIA336, Paris (CDG / LFPG),00:15 UTC+08,00:17 UTC+08 ,07:21 CET,14h 4m,3,B10
RU737 , Hong Kong (HKG / VHHH),00:15 UTC+08,00:15 UTC+08,04:20 HKT,4h 5m,2,E6
CA970 CCA970, Beijing (PEK / ZBAA),00:15 UTC+08,00:23 UTC+08 ,06:22 CST,5h 59m,1,C24
LO68 , Warsaw (WAW / EPWA),00:20 UTC+08,00:44 UTC+08 ,06:15 CET,12h 31m,2,F52
PR510 PAL510, Manila (MNL / RPLL),00:20 UTC+08,00:20 UTC+08 ,04:01 PST,3h 41m,1,C17
SQ328 SIA328, Munich (MUC / EDDM),00:25 UTC+08,00:32 UTC+08 ,06:30 CET,13h 5m,3,A14
MU544 CES544, Shanghai (PVG / ZSPD),00:25 UTC+08,00:51 UTC+08 ,05:45 CST,4h 54m,3,A7
TR172 , Jinan (TNA / ZSJN),00:25 UTC+08,00:25 UTC+08 ,06:20 CST,5h 55m,1,D40
7C4056 JJA4056, Busan (PUS / RKPK),00:25 UTC+08,00:56 UTC+08 ,08:01 KST,6h 4m,4,G2
SQ237 SIA237, Melbourne (MEL / YMML),00:25 UTC+08,00:28 UTC+08 ,10:48 AEDT,7h 20m,3,A11
EK353 UAE353, Dubai (DXB / OMDB),00:30 UTC+08,01:16 UTC+08 ,05:07 UTC+04,7h 51m,1,C25
SQ22 SIA22, New York (EWR / KEWR),00:40 UTC+08,00:53 UTC+08 ,05:44 EST,17h 51m,3,A15
NH804 AJX804, Tokyo (NRT / RJAA),00:40 UTC+08,00:40 UTC+08,08:24 JST,6h 44m,2,F34
5J548 CEB548, Cebu (CEB / RPVM),00:45 UTC+08,00:45 UTC+08 ,04:56 PST,4h 11m,4,G2
SQ231 SIA231, Sydney (SYD / YSSY),00:45 UTC+08,01:08 UTC+08 ,12:14 AEDT,8h 6m,3,A10
SQ255 SIA255, Brisbane (BNE / YBBN),00:55 UTC+08,01:20 UTC+08 ,10:31 AEST,7h 11m,3,B3
MI811 , Cairns (CNS / YBCS),01:00 UTC+08,01:08 UTC+08 ,09:46 AEST,6h 38m,2,F35
SQ306 SIA306, London (LHR / EGLL),01:10 UTC+08,01:08 UTC+08 ,07:07 GMT,13h 59m,3,A5
SQ800 SIA800, Beijing (PEK / ZBAA),01:10 UTC+08,01:12 UTC+08 ,07:02 CST,5h 50m,3,A11
SQ672 SIA672, Nagoya (NGO / RJGG),01:20 UTC+08,01:43 UTC+08 ,08:47 JST,6h 4m,3,A16
SQ656 SIA656, Fukuoka (FUK / RJFF),01:20 UTC+08,01:39 UTC+08 ,08:48 JST,6h 9m,3,B8
CX714 CPA714, Hong Kong (HKG / VHHH),01:25 UTC+08,01:30 UTC+08 ,05:05 HKT,3h 40m,4,G18
SQ478 SIA478, Johannesburg (JNB / FAOR),01:30 UTC+08,14:01 UTC+08 ,06:22 SAST,NULL,3,B3
SQ346 SIA346, Zurich (ZRH / LSZH),01:30 UTC+08,01:30 UTC+08 ,07:50 CET,13h 20m,3,B4
TR138 TGW138, Tianjin (TSN / ZBTJ),01:30 UTC+08,01:30 UTC+08 ,07:25 CST,5h 55m,1,C15
SQ618 SIA618, Osaka (KIX / RJBB),01:30 UTC+08,01:46 UTC+08 ,08:42 JST,5h 56m,3,A2
KE646 KAL646, Seoul (ICN / RKSI),01:30 UTC+08,01:40 UTC+08 ,09:10 KST,6h 30m,4,G19
KL836 KLM836, Amsterdam (AMS / EHAM),01:35 UTC+08,01:44 UTC+08 ,07:42 CET,12h 58m,1,C13
OZ754 , Seoul (ICN / RKSI),01:45 UTC+08,02:27 UTC+08 ,08:55 KST,6h 10m,3,A9
MI868 SLK868, Hiroshima (HIJ / RJOA),01:45 UTC+08,01:49 UTC+08 ,08:57 JST,6h 8m,2,F59
SQ392 SIA392, Istanbul (ISL / LTBA),01:50 UTC+08,01:55 UTC+08 ,08:25 UTC+03,11h 35m,3,C22
SQ366 , Rome (FCO / LIRF),01:55 UTC+08,02:18 UTC+08 ,08:21 CET,13h 3m,3,A5
3K791 JSA791, Naha (OKA / ROAH),02:00 UTC+08,02:01 UTC+08 ,08:19 JST,5h 18m,1,D40
